freq,currency,geo\TIME_PERIOD	1999-S1 	1999-S2 	2000-S1 	2000-S2 	2001-S1 	2001-S2 	2002-S1 	2002-S2 	2003-S1 	2003-S2 	2004-S1 	2004-S2 	2005-S1 	2005-S2 	2006-S1 	2006-S2 	2007-S1 	2007-S2 	2008-S1 	2008-S2 	2009-S1 	2009-S2 	2010-S1 	2010-S2 	2011-S1 	2011-S2 	2012-S1 	2012-S2 	2013-S1 	2013-S2 	2014-S1 	2014-S2 	2015-S1 	2015-S2 	2016-S1 	2016-S2 	2017-S1 	2017-S2 	2018-S1 	2018-S2 	2019-S1 	2019-S2 	2020-S1 	2020-S2 	2021-S1 	2021-S2 	2022-S1 	2022-S2 	2023-S1 	2023-S2 	2024-S1 	2024-S2 	2025-S1 	2025-S2 	2026-S1 
S,NAC,NL	1064 	1078 	1092 	1111 	1155 	1180 	1207 	1232 	1249 	1265 	1265 	1265 	1265 	1265 	1273 	1285 	1301 	1317 	1335 	1357 	1381 	1399 	1408 	1416 	1424 	1435 	1447 	1456 	1469 	1478 	1486 	1495 	1502 	1508 	1525 	1537 	1552 	1565 	1578 	1594 	1616 	1636 	1654 	1680 	1685 	1701 	1725 	1756 	1934 	1995 	2070 	2134 	2193 	2246 	2295 
S,NAC,NO	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,NAC,PL	650 	650 	670 	700 	760 	760 	760 	760 	800 	800 	824 	824 	849 	849 	899 	899 	936 	936 	1126 	1126 	1276 	1276 	1317 	1317 	1386 	1386 	1500 	1500 	1600 	1600 	1680 	1680 	1750 	1750 	1850 	1850 	2000 	2000 	2100 	2100 	2250 	2250 	2600 	2600 	2800 	2800 	3010 	3010 	3490 	3600 	4242 	4300 	4666 	4666 	4806 
S,NAC,PT	357 	357 	371 	371 	390 	390 	406 	406 	416 	416 	426 	426 	437 	437 	450 	450 	470 	470 	497 	497 	525 	525 	554 	554 	566 	566 	566 	566 	566 	566 	566 	566 	589 	589 	618 	618 	650 	650 	677 	677 	700 	700 	741 	741 	776 	776 	823 	823 	887 	887 	957 	957 	1015 	1015 	1073 
S,NAC,RO	35 	45 	45 	70 	100 	140 	140 	175 	250 	250 	280 	280 	310 	310 	330 	330 	390 	390 	500 	500 	600 	600 	600 	600 	670 	670 	700 	700 	700 	800 	850 	900 	975 	1050 	1050 	1250 	1250 	1450 	1900 	1900 	2080 	2080 	2230 	2230 	2230 	2300 	2550 	2550 	3000 	3000 	3300 	3700 	4050 	4050 	4050 
S,NAC,RS	387 	387 	387 	471 	402 	2932 	4608 	5617 	6241 	6740 	7921 	8943 	9837 	10476 	11753 	12520 	12796 	14897 	16511 	18409 	20643 	20578 	21323 	21218 	22459 	24067 	24067 	27206 	27206 	26976 	26976 	26941 	28431 	28403 	28403 	28379 	30613 	30586 	33813 	33355 	36408 	36365 	40502 	40502 	43044 	43044 	47193 	47193 	53993 	53993 	63700 	63700 	72396 	72396 	87207 
S,NAC,SE	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,NAC,SI	285 	285 	310 	321 	352 	352 	395 	395 	432 	432 	465 	465 	490 	490 	512 	512 	522 	522 	539 	567 	589 	589 	597 	734 	748 	748 	763 	763 	784 	784 	789 	789 	791 	791 	791 	791 	805 	805 	843 	843 	887 	887 	941 	941 	1024 	1024 	1074 	1074 	1203 	1203 	1254 	1254 	1278 	1278 	1278 
S,NAC,SK	100 	120 	133 	133 	146 	146 	163 	163 	185 	185 	202 	202 	216 	216 	229 	229 	252 	252 	269 	269 	296 	296 	308 	308 	317 	317 	327 	327 	338 	338 	352 	352 	380 	380 	405 	405 	435 	435 	480 	480 	520 	520 	580 	580 	623 	623 	646 	646 	700 	700 	750 	750 	816 	816 	915 
S,NAC,TR	78 	94 	110 	119 	140 	168 	222 	251 	306 	306 	423 	444 	489 	489 	531 	531 	563 	585 	608 	639 	666 	693 	729 	761 	797 	837 	887 	941 	979 	1022 	1071 	1134 	1202 	1274 	1647 	1647 	1778 	1778 	2030 	2030 	2558 	2558 	2943 	2943 	3578 	3578 	5004 	6471 	10008 	13415 	20003 	20003 	26006 	26006 	33030 
S,NAC,UA	74 	74 	74 	118 	118 	118 	140 	165 	185 	185 	205 	205 	262 	310 	350 	375 	400 	440 	515 	525 	605 	630 	869 	888 	941 	960 	1073 	1102 	1147 	1147 	1218 	1218 	1218 	1218 	1378 	1450 	3200 	3200 	3723 	3723 	4173 	4173 	4723 	4723 	6000 	6000 	6500 	6500 	6700 	6700 	7100 	8000 	8000 	8000 	8647 
